"","MY","Agency","ind","observed","season","trend","remainder","remainder_l1","remainder_l2","anomaly","Direction","Frequency","Date","Year","Freq.N","N","val2","type"
"1",Jul 2002,"DEP","Water main breaks",22,-17.3861649614863,49.4091484087359,-10.0229834472496,-34.4929881649038,34.7720985771298,"No","Down","Monthly",2002-07-01,"2002",12,192,22,"ts"
"2",Jul 2002,"DPR","Spray showers in service (in season only) (%)",95,-0.594423183165936,98.4487978654872,-2.85437468232125,-19.1247758454517,19.006376617699,"No","Up","Monthly",2002-07-01,"2002",12,68,95,"ts"
"3",Jul 2002,"HRA","Total Cash Assistance Gross Expenditures ($000)",97619,895.785254628414,96555.0287964446,168.18594892697,-15029.8722302902,14673.361625493,"No","Down","Monthly",2002-07-01,"2002",12,189,97619,"ts"
"4",Jul 2002,"LPC","Work permit applications received",703,72.2697773806785,639.285562650734,-8.55534003141258,-256.77247838895,253.552847813531,"No","*","Monthly",2002-07-01,"2002",12,191,703,"ts"
"5",Jul 2002,"NYCHA","Utilization rate for authorized Section 8 vouchers (%)",97.6,-0.110313452527236,98.4253353783022,-0.715021925775005,-4.75584795655769,4.79591468075533,"No","Up","Monthly",2002-07-01,"2002",12,192,97.6,"ts"
"6",Jul 2002,"OCME","Toxicology sexual assault cases",3,1.62544080807754,2.52336590032594,-1.14880670840347,-19.9945448587486,20.2918018692196,"No","*","Monthly",2002-07-01,"2002",12,190,3,"ts"
"7",Aug 2002,"DEP","Water main breaks",20,-17.3861209598421,49.3348322915524,-11.9487113317104,-34.4929881649038,34.7720985771298,"No","Down","Monthly",2002-08-01,"2002",12,192,20,"ts"
"8",Aug 2002,"DPR","Spray showers in service (in season only) (%)",99,0.965593982173622,97.894516594926,0.139889422900339,-19.1247758454517,19.006376617699,"No","Up","Monthly",2002-08-01,"2002",12,68,99,"ts"
"9",Aug 2002,"HRA","Total Cash Assistance Gross Expenditures ($000)",98969,-255.731784852938,96887.8339331789,2336.89785167403,-15029.8722302902,14673.361625493,"No","Down","Monthly",2002-08-01,"2002",12,189,98969,"ts"
"10",Aug 2002,"LPC","Work permit applications received",747,114.128084490963,642.456093120805,-9.58417761176759,-256.77247838895,253.552847813531,"No","*","Monthly",2002-08-01,"2002",12,191,747,"ts"
"11",Aug 2002,"NYCHA","Utilization rate for authorized Section 8 vouchers (%)",98.2,-0.0266504546074279,98.4364121049805,-0.209761650373068,-4.75584795655769,4.79591468075533,"No","Up","Monthly",2002-08-01,"2002",12,192,98.2,"ts"
"12",Aug 2002,"OCME","Toxicology sexual assault cases",2,2.46734792510319,2.94873312589927,-3.41608105100247,-19.9945448587486,20.2918018692196,"No","*","Monthly",2002-08-01,"2002",12,190,2,"ts"
"13",Sep 2002,"DEP","Water main breaks",24,-17.6088870474048,49.260516174369,-7.65162912696415,-34.4929881649038,34.7720985771298,"No","Down","Monthly",2002-09-01,"2002",12,192,24,"ts"
"14",Sep 2002,"DPR","Spray showers in service (in season only) (%)",100,0.588362205214503,97.3402353243649,2.07140247042057,-19.1247758454517,19.006376617699,"No","Up","Monthly",2002-09-01,"2002",12,68,100,"ts"
"15",Sep 2002,"HRA","Total Cash Assistance Gross Expenditures ($000)",95026,1367.58118681273,97220.6390699132,-3562.22025672591,-15029.8722302902,14673.361625493,"No","Down","Monthly",2002-09-01,"2002",12,189,95026,"ts"
"16",Sep 2002,"LPC","Work permit applications received",624,-31.0387530780019,645.626623590876,9.41212948712621,-256.77247838895,253.552847813531,"No","*","Monthly",2002-09-01,"2002",12,191,624,"ts"
"17",Sep 2002,"NYCHA","Utilization rate for authorized Section 8 vouchers (%)",98.5,0.0722077389253675,98.4474888316588,-0.0196965705841592,-4.75584795655769,4.79591468075533,"No","Up","Monthly",2002-09-01,"2002",12,192,98.5,"ts"
"18",Sep 2002,"OCME","Toxicology sexual assault cases",3,-1.94537500262271,3.37410035147261,1.5712746511501,-19.9945448587486,20.2918018692196,"No","*","Monthly",2002-09-01,"2002",12,190,3,"ts"
